step,time,kinetic_energy,enstrophy,palinstrophy,vorticity_mean,vorticity_std,vorticity_min,vorticity_max,vorticity_linf,circulation,divergence_linf
0.000000000000000000e+00,0.000000000000000000e+00,9.849711669731035790e-02,5.000000000000000000e-01,4.568573914818323090e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.700383743967740724e+00,3.242179389468884398e+00,3.242179389468884398e+00,0.000000000000000000e+00,1.092375499247719392e-32
1.000000000000000000e+00,1.000000000000000021e-02,9.848913791050181721e-02,4.999297629108778729e-01,4.567658270974689572e+00,-6.938893903907228378e-18,9.999297604440802179e-01,-2.701545914945233662e+00,3.241798423319238953e+00,3.241798423319238953e+00,-2.739365512507795917e-16,2.032879073410465860e-20
2.000000000000000000e+00,2.000000000000000042e-02,9.848115751987573940e-02,4.998595138742529254e-01,4.566821712941605327e+00,-6.938893903907228378e-18,9.998595040046905913e-01,-2.702445286079158571e+00,3.241395571700879330e+00,3.241395571700879330e+00,-2.739365512507795917e-16,4.293894831116856962e-20
3.000000000000000000e+00,2.999999999999999889e-02,9.847317552969800381e-02,4.997892515461802576e-01,4.566064065333161892e+00,0.000000000000000000e+00,9.997892293340434611e-01,-2.703081841542611663e+00,3.240970998251815782e+00,3.240970998251815782e+00,0.000000000000000000e+00,6.182803581945153457e-20
