step,time,kinetic_energy,enstrophy,palinstrophy,vorticity_mean,vorticity_std,vorticity_min,vorticity_max,vorticity_linf,circulation,divergence_linf
0.000000000000000000e+00,0.000000000000000000e+00,9.849711669731035790e-02,5.000000000000000000e-01,4.568573914818323090e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.700383743967740724e+00,3.242179389468884398e+00,3.242179389468884398e+00,0.000000000000000000e+00,1.092375499247719392e-32
1.000000000000000000e+00,1.000000000000000021e-02,1.011512778097867771e-01,5.117124259092787897e-01,4.674777367326455213e+00,1.842826115421303257e-02,1.011476767409607680e+00,-2.731034040451049805e+00,3.217537164688110352e+00,3.217537164688110352e+00,7.275185895681800519e-01,2.033703010725566780e-19
2.000000000000000000e+00,2.000000000000000042e-02,1.038999500359567285e-01,5.241769534424751686e-01,4.787147530304276088e+00,3.682332878514671393e-02,1.023229177331320683e+00,-2.762307405471801758e+00,3.189143180847167969e+00,3.189143180847167969e+00,1.453726751362577785e+00,3.617105400379637172e-19
3.000000000000000000e+00,2.999999999999999889e-02,1.067476869215277929e-01,5.374164172647923898e-01,4.906168274677918717e+00,5.516833363230944087e-02,1.035272567729783377e+00,-2.794219732284545898e+00,3.157188415527343750e+00,3.157188415527343750e+00,2.177958513672829444e+00,1.173471135762749799e-18
