step,time,kinetic_energy,enstrophy,palinstrophy,vorticity_mean,vorticity_std,vorticity_min,vorticity_max,vorticity_linf,circulation,divergence_linf
3.300000000000000000e+01,3.300000000000000155e-01,5.328403296682990842e-01,2.074809560760986216e+00,1.529554192643576016e+01,4.504503300049691461e-01,1.986633741211596860e+00,-8.056887626647949219e+00,4.592225074768066406e+00,8.056887626647949219e+00,1.778306623795678831e+01,7.480217388390357914e-18
3.400000000000000000e+01,3.400000000000000244e-01,5.616637480928535764e-01,2.198108029696278276e+00,1.664667844808738195e+01,4.502717164141358808e-01,2.047796728386395593e+00,-8.440617561340332031e+00,4.773663520812988281e+00,8.440617561340332031e+00,1.777601485602805909e+01,1.503854688879998117e-17
3.500000000000000000e+01,3.500000000000000333e-01,5.926858852790548582e-01,2.331377142306226169e+00,1.814498500799260228e+01,4.487922166590578854e-01,2.112188398528573874e+00,-8.842311859130859375e+00,4.958800792694091797e+00,8.842311859130859375e+00,1.771760654685154535e+01,2.258694067133439544e-17
3.600000000000000000e+01,3.599999999999999867e-01,6.261024914274365694e-01,2.475564248146421065e+00,1.980625398124561798e+01,4.459617903485195711e-01,2.179964811147644621e+00,-9.262396812438964844e+00,5.148027896881103516e+00,9.262396812438964844e+00,1.760586579496575155e+01,6.337493196620974390e-18
3.700000000000000000e+01,3.699999999999999956e-01,6.621252994964451632e-01,2.631706816235674928e+00,2.164789602233705068e+01,4.417294431777918362e-01,2.251286017257955852e+00,-9.701282501220703125e+00,5.341773986816406250e+00,9.701282501220703125e+00,1.743877942591314323e+01,8.540969245293769310e-18
3.800000000000000000e+01,3.800000000000000044e-01,7.009833128851317152e-01,2.800940842678287801e+00,2.368911191260368199e+01,4.360428406489518238e-01,2.326316471694117816e+00,-1.015936088562011719e+01,5.540507316589355469e+00,1.015936088562011719e+01,1.721428135652960023e+01,1.108349332594094942e-17
3.900000000000000000e+01,3.900000000000000133e-01,7.429243785276775647e-01,2.984511175376365344e+00,2.595109602172287211e+01,4.288479193128296174e-01,2.405225938005364661e+00,-1.063700771331787109e+01,5.744726657867431641e+00,1.063700771331787109e+01,1.693023724739166624e+01,9.515819651135218807e-18
4.000000000000000000e+01,4.000000000000000222e-01,7.882170236326608848e-01,3.183782811417656511e+00,2.845726125251993111e+01,4.200881817273511842e-01,2.488190415223143770e+00,-1.113457870483398438e+01,5.954952239990234375e+00,1.113457870483398438e+01,1.658441666888756316e+01,1.368983396929629453e-17
4.100000000000000000e+01,4.100000000000000311e-01,8.371527551346602536e-01,3.400254887664172276e+00,3.123349701170252146e+01,4.097040255692263599e-01,2.575393637244744571e+00,-1.165240573883056641e+01,6.171710968017578125e+00,1.165240573883056641e+01,1.617446661560825305e+01,2.089173100323944172e-17
4.200000000000000000e+01,4.199999999999999845e-01,8.900487142053095102e-01,3.635576902493981244e+00,3.430846356314847867e+01,3.976320851215859875e-01,2.667028783097367128e+00,-1.219079589843750000e+01,6.395519256591796875e+00,1.219079589843750000e+01,1.569788550932137383e+01,1.341787626860702059e-17
4.300000000000000000e+01,4.299999999999999933e-01,9.472505332408387435e-01,3.891566940108589279e+00,3.771392160660325743e+01,3.838045725242409389e-01,2.763300188239899757e+00,-1.275002861022949219e+01,6.626862049102783203e+00,1.275002861022949219e+01,1.515199719257387123e+01,1.540734204046964986e-17
4.400000000000000000e+01,4.400000000000000022e-01,1.009135724212686158e+00,4.170232939958337326e+00,4.148510531849306915e+01,3.681486942077754065e-01,2.864425320874989023e+00,-1.333035850524902344e+01,6.866173267364501953e+00,1.333035850524902344e+01,1.453392789043344102e+01,1.205137649098398428e-17
4.500000000000000000e+01,4.500000000000000111e-01,1.076116932160013695e+00,4.473795481169092980e+00,4.566114032748282625e+01,3.505862558067747159e-01,2.970636335800391326e+00,-1.393201351165771484e+01,7.113825321197509766e+00,1.393201351165771484e+01,1.384059061308793304e+01,1.598568342160295159e-17
4.600000000000000000e+01,4.600000000000000200e-01,1.148646101069493719e+00,4.804714634883976210e+00,5.028552919885713379e+01,3.310330826370773138e-01,3.082182078977123929e+00,-1.455520534515380859e+01,7.448232650756835938e+00,1.455520534515380859e+01,1.306866227720430018e+01,2.897473198091924828e-17
4.700000000000000000e+01,4.700000000000000289e-01,1.227218714731912019e+00,5.165718962969427785e+00,5.540670051487697378e+01,3.093984689567150781e-01,3.199329697506353654e+00,-1.520013332366943359e+01,7.830801010131835938e+00,1.520013332366943359e+01,1.221456196362201752e+01,1.799862775088759392e-17
4.800000000000000000e+01,4.799999999999999822e-01,1.312379154838926532e+00,5.559839519724547152e+00,6.107864722119859380e+01,2.855844623063603649e-01,3.322366709792626605e+00,-1.586699771881103516e+01,8.222540855407714844e+00,1.586699771881103516e+01,1.127442266424636763e+01,2.543541004441454606e-17
4.900000000000000000e+01,4.899999999999999911e-01,1.404726652755657001e+00,5.990447132526629304e+00,6.736165371732502649e+01,2.594849930501368362e-01,3.451602787609696854e+00,-1.655601310729980469e+01,8.623568534851074219e+00,1.655601310729980469e+01,1.024405691769708859e+01,2.263110106609926614e-17
5.000000000000000000e+01,5.000000000000000000e-01,1.504922514679135404e+00,6.461297427581921937e+00,7.432317363812600775e+01,2.309849016928637866e-01,3.587372413111549641e+00,-1.726742362976074219e+01,9.033999443054199219e+00,1.726742362976074219e+01,9.118918409332325226e+00,4.651165026947115210e-17
