step,time,kinetic_energy,enstrophy,palinstrophy,vorticity_mean,vorticity_std,vorticity_min,vorticity_max,vorticity_linf,circulation,divergence_linf
0.000000000000000000e+00,0.000000000000000000e+00,9.849711669731035790e-02,5.000000000000000000e-01,4.568573914818323090e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.700383743967740724e+00,3.242179389468884398e+00,3.242179389468884398e+00,0.000000000000000000e+00,1.092375499247719392e-32
1.000000000000000000e+00,1.000000000000000021e-02,1.011512778097867771e-01,5.115426255046947590e-01,4.674777367326455213e+00,0.000000000000000000e+00,1.011476767409607680e+00,-2.749462301605262837e+00,3.199108903533897319e+00,3.199108903533897319e+00,0.000000000000000000e+00,2.033703010725566780e-19
2.000000000000000000e+00,2.000000000000000042e-02,1.039727765239558815e-01,5.238488664164272501e-01,4.790207598813288392e+00,0.000000000000000000e+00,1.023571068774833392e+00,-2.799448299977669308e+00,3.153015803721061161e+00,3.153015803721061161e+00,0.000000000000000000e+00,5.108273030005495585e-19
3.000000000000000000e+00,2.999999999999999889e-02,1.069709076552108201e-01,5.369632480096857563e-01,4.915514449974083711e+00,0.000000000000000000e+00,1.036304248770297809e+00,-2.850355839110875422e+00,3.104085231445765203e+00,3.104085231445765203e+00,0.000000000000000000e+00,4.875512771584057043e-19
