step,time,kinetic_energy,enstrophy,palinstrophy,vorticity_mean,vorticity_std,vorticity_min,vorticity_max,vorticity_linf,circulation,divergence_linf
0.000000000000000000e+00,0.000000000000000000e+00,1.377449292984772033e-01,4.999999999999999445e-01,2.839122793718654947e+00,1.040834085586084257e-17,9.999999999999998890e-01,-2.617715540741376135e+00,2.372354575968254053e+00,2.617715540741376135e+00,4.109048268761693875e-16,4.102495554179573765e-33
1.000000000000000000e+00,1.000000000000000021e-02,1.377367430912267154e-01,4.999583342240246364e-01,2.839310769361078179e+00,-1.040834085586084257e-17,9.999583333559700637e-01,-2.617851157779762961e+00,2.367607087388604814e+00,2.617851157779762961e+00,-4.109048268761693875e-16,4.107205816514568577e-33
2.000000000000000000e+00,2.000000000000000042e-02,1.377285565639490006e-01,4.999166691528436068e-01,2.839559207828590282e+00,1.387778780781445676e-17,9.999166656805391629e-01,-2.617929940916753573e+00,2.362742455187841983e+00,2.617929940916753573e+00,5.478731025015591834e-16,7.940933880665335898e-23
3.000000000000000000e+00,2.999999999999999889e-02,1.377203697082667599e-01,4.998750035965197069e-01,2.839868121531991640e+00,5.204170427930421283e-18,9.998749957834925928e-01,-2.617951556574528826e+00,2.357761723217170591e+00,2.617951556574528826e+00,2.054524134380846938e-16,6.352747104434095192e-22
4.000000000000000000e+00,4.000000000000000083e-02,1.377121825157820445e-01,4.998333363633731263e-01,2.840237525398316532e+00,1.734723475976807094e-17,9.998333224726740909e-01,-2.617915697552118726e+00,2.352665956270484138e+00,2.617915697552118726e+00,6.848413781269489299e-16,1.882337452796066002e-21
